"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Justification:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/25","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) STICKERS CATEGORY ""A"" FOR 2ND QUARTER, 2020","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","12th August, 2020","12th September, 2020","Ghana Cedi","Gh¢331151.36","CANI COMPANY LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/18","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) STICKERS CATEGORY ""C"" FOR 3RD QUARTER, 2020","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","14th October, 2020","14th November, 2020","Ghana Cedi","Gh¢222370.50","INNOLINK LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/38","-","Restricted Tender","1","PRINTING AND SUPPLY OF MISCELLANEOUS RECEIPT BOOKS FOR GHANA REVENUE AUTHORITY","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","14th October, 2020","14th November, 2020","Ghana Cedi","Gh¢124750.00","PRIMMOND LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/19","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) STICKERS CATEGORY ""D"" FOR 3RD QUARTER, 2020","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","14th October, 2020","14th November, 2020","Ghana Cedi","Gh¢349700.00","SAFEWAY PRINTING WORKS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/19","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) STICKERS CATEGORY ""B"" FOR 3RD QUARTER, 2020","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","14th October, 2020","14th November, 2020","Ghana Cedi","Gh¢113850.00","TRIPLE A ENTERPRISE LTD","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0014/19/80","-","Restricted Tender","1","PRINTING AND SUPPLY OF TAX CREDIT CERTIFICATE BOOKS (IT FORM 140B) 2020","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","22nd June, 0020","22nd August, 0250","Ghana Cedi","Gh¢2099350.00","Yamens Press","YAMENSPRESSLIMITED@GMAIL.COM","P.O.BOX AF 274 ADENTA ACCRA","030222322","-"
"Controller And Accountant General Department","GR/CAGD/GD/0014/19/92","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) STICKERS CATEGORY ""C"" FOR 1ST QUARTER, 2020","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","04th May, 2020","04th June, 2020","Ghana Cedi","Gh¢221430.00","LEGIBLE INK CONSULTS","","","","-"
"Bank of Ghana","GR/BOG/WK/003/2020","-","Restricted Tender","","CONSTRUCTION OF NEW CORPORATE HEADQUARTERS FOR BANK OF GHANA","Central Tender Review Committee","40 (1)f - National Security","26th November, 2020","25th March, 2023","USA Dollar","$121078517.96","Messrs Goldkey Properties Ltd","0","0","0","-"
"Zongo Development Fund","GR/ZoDF/WK/002/19","-","Restricted Tender","1","CONSTRUCTION OF SIX UNIT CLASSROOM BLOCK WITH FURNITURE AT KPEDZE IN HO WEST.","ETC/PPA","40 (1)b - Urgency","10th March, 2020","10th September, 2020","Ghana Cedi","Gh¢701693.40","ABMAAD COMPANY LIMITED","","","","-"
"Zongo Development Fund","GR/ZoDF/WK/002/19","-","Restricted Tender","3","CONSTRUCTION OF SIX UNIT CLASSROOM BLOCK WITH FURNITURE AT DENKYEMBOUR, BODUA ZONGO.","ETC/PPA","40 (1)b - Urgency","10th March, 2020","10th September, 2020","Ghana Cedi","Gh¢721691.98","ASCORT GHANA LIMITED","","","","-"
"Zongo Development Fund","GR/ZoDF/WK/002/19","-","Restricted Tender","4","CONSTRUCTION OF SIX UNIT CLASSROOM BLOCK WITH FURNITURE AT AKANTENG FULANI ZONGO","ETC/PPA","40 (1)b - Urgency","10th March, 2020","10th September, 2020","Ghana Cedi","Gh¢715000.00","BISMI COMPANY LIMITED","","","","-"
"Zongo Development Fund","GR/ZoDF/WK/002/19","-","Restricted Tender","5","CONSTRUCTION OF SIX UNIT CLASSROOM BLOCK WITH FURNITURE AT SARKAFIA ASOKORE ZONGO.","ETC/PPA","40 (1)b - Urgency","10th March, 2020","10th March, 2020","Ghana Cedi","Gh¢711634.12","FSS GLOBAL COMPANY LIMITED","","","","-"
"Zongo Development Fund","GR/ZoDF/WK/002/19","-","Restricted Tender","6","CONSTRUCTION OF SIX UNIT CLASSROOM BLOCK WITH FURNITURE AT AKANTENG ADEISO ZONGO.","ETC/PPA","40 (1)b - Urgency","10th March, 2020","10th September, 2020","Ghana Cedi","Gh¢709596.00","BII- JANSAM LIMITED","","","","-"
"Zongo Development Fund","GR/ZoDF/WK/002/19","-","Restricted Tender","7","CONSTRUCTION OF SIX UNIT CLASSROOM BLOCK AT BARAKESE USUULUDEEN ISLAMIC SCHOOL.","ETC/PPA","40 (1)b - Urgency","10th March, 2020","10th September, 2020","Ghana Cedi","Gh¢602014.00","BREWECKS COMPANY LIMITED","","","","-"
"Zongo Development Fund","GR/ZoDF/WK/002/19","-","Restricted Tender","10","CONSTRUCTION OF SIX UNIT CLASSROOM BLOCK WITH FURNITURE AT SEKONDI ZONGO.","ETC/PPA","40 (1)b - Urgency","10th March, 2020","10th September, 2020","Ghana Cedi","Gh¢709298.58","AKOFIS VENTURES LIMITED","","","","-"
"Zongo Development Fund","GR/ZoDF/WK/002/19","-","Restricted Tender","12","CONSTRUCTION OF SIX UNIT CLASSROOM BLOCK AT KAMGBUNLI ZONGO.","ETC/PPA","40 (1)b - Urgency","10th March, 2020","10th September, 2020","Ghana Cedi","Gh¢589161.69","RDC COMPANY LIMITED","","","","-"
"Zongo Development Fund","GR/ZoDF/WK/002/19","-","Restricted Tender","13","CONSTRUCTION OF SIX UNIT CLASSROOM BLOCK WITH FURNITURE AT BODI, WESTERN NORTH.","ETC/PPA","40 (1)b - Urgency","10th March, 2020","10th September, 2020","Ghana Cedi","Gh¢719692.79","EARTH MASTERS COMPANY LIMITED","","","","-"
"Zongo Development Fund","GR/ZoDF/WK/002/19","-","Restricted Tender","14","CONSTRUCTION OF SIX UNIT CLASSROOM BLOCK WITH FURNITURE AT KWAMIKROM ZONGO IN THE OTI REGION.","ETC/PPA","40 (1)b - Urgency","10th March, 2020","10th September, 2020","Ghana Cedi","Gh¢720858.28","TRIANGLE MERCHANTS LIMITED","","","","-"
"National Board for Small Scale Industries","NBSSI/GOV/CAP/2020/003","-","Restricted Tender","1","Technology Developer for the Corona Virus Alleviation Business Support Scheme","ETC/PPA","40 (1)b - Urgency","17th April, 2020","15th January, 2021","Ghana Cedi","Gh¢1125780.00","Logiciel Ghana Limited","0","0","0","-"
"National Board for Small Scale Industries","NBSSI/GOV/CAP/2020/006","-","Restricted Tender","1","Printing of Application forms for Corona Virus Alleviation Business Support Scheme","ETC/PPA","40 (1)b - Urgency","27th May, 2020","03rd June, 2020","Ghana Cedi","Gh¢288400.00","Cara Express","0","0","0","-"
"National Board for Small Scale Industries","NBSSI/GOV/CAP/2020/008","-","Restricted Tender","1","Printing of Registration forms for CAPBuSS to be sent to the Rural areas","ETC/PPA","40 (1)b - Urgency","27th May, 2020","03rd June, 2020","Ghana Cedi","Gh¢156560.00","Sage Literary House","0","0","0","-"
"Bank of Ghana","GR/BOG/WK/0006/2020","-","Restricted Tender","","RECONSTRUCTION OF BROKEN FENCE WALL AND DRAINAGE AT STAFF QUARTERS AND PAVING OF ROAD ADJACENT TO BANK OF GHANA REGIONAL OFFICE, SEFWI-BOAKO","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","16th October, 2020","15th December, 2020","Ghana Cedi","Gh¢721597.28","FAWCO LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/21","-","Restricted Tender","1","SUPPLY OF CARBONLESS WATERMARKED SECURITY PAPERS","Central Tender Review Committee","40 (1)d - Standardization/Compatibility/Limited Size","10th December, 2020","01st December, 2021","Ghana Cedi","Gh¢19616779.52","STRATEGIC SECURITY SYSTEMS","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/43","-","Restricted Tender","1","SUPPLY OF HOLOGRAM FOILS FOR VALUE BOOKS","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","12th September, 2020","02nd September, 2021","Ghana Cedi","Gh¢6736000.00","SAFEWAY PRINTING WORKS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/21","-","Restricted Tender","1","SUPPLY OF CARBONLESS WATERMARKED SECURITY PAPERS","Central Tender Review Committee","40 (1)d - Standardization/Compatibility/Limited Size","13th October, 2020","13th January, 2021","Ghana Cedi","Gh¢19616779.52","STRATEGIC SECURITY SYSTEMS","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/34","-","Restricted Tender","1","PRINTING AND SUPPLY OF MARKET TOLL TICKETS (GENERIC)","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","16th December, 2020","16th February, 2021","Ghana Cedi","Gh¢980000.00","SAFEWAY PRINTING WORKS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/41","-","Restricted Tender","1","PRINTING AND SUPPLY OF ON-SITE BANKING RECEIPTS FOR REGISTRAR GENERAL'S DEPARTMENT.","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","11th December, 2020","11th January, 2021","Ghana Cedi","Gh¢176904.00","PAPER HOUSE LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/40","-","Restricted Tender","1","PRINTING AND SUPPLY OF ON-SITE BANKING RECEIPTS FOR KORLE-BU TEACHING HOSPITAL.","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","11th December, 2020","11th January, 2021","Ghana Cedi","Gh¢178959.38","PAPER HOUSE LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/42","-","Restricted Tender","1","PRINTING AND SUPPLY OF FOUR PLY CONTINUOUS FORMS","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","31st December, 2020","31st January, 2021","Ghana Cedi","Gh¢378000.00","PAPER HOUSE LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/35","-","Restricted Tender","1`","PRINTING AND SUPPLY OF MARKET TOLL TICKETS","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","03rd December, 2020","12th February, 2021","Ghana Cedi","Gh¢505000.00","BETHESDA PRESS LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/47","-","Restricted Tender","1","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) CATEGORY 'C' 4TH QUARTER","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","22nd December, 2020","22nd January, 2021","Ghana Cedi","Gh¢215552.00","TRUE FAITH ENTERPRISE LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/48","-","Restricted Tender","1`","PRINTING AND SUPPLY OF VEHICLE INCOME TAX (VIT) CATEGORY 'D' 4TH QUARTER","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","22nd December, 2020","25th January, 2021","Ghana Cedi","Gh¢253424.00","PRIMMOND LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/46","-","Restricted Tender","1","PRINTING AND SUPPLY OF BESPOKE CARBONLESS PAPERS FOR THE PRINTING OF VALUE BOOKS FOR GHANA REVENUE AUTHORITY","Central Tender Review Committee","40 (1)b - Urgency","29th December, 2020","12th February, 2021","Ghana Cedi","Gh¢19616779.52","CHECKPOINT GHANA LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/50","-","Restricted Tender","1","PRINTING AND SUPPLY OF 3% FLAT RATE VAT INVOICE BOOKS FOR GHANA REVENUE AUTHORITY","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","24th December, 2020","24th February, 2021","Ghana Cedi","Gh¢1575000.00","DIDDLE ENTERPRISE","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/32","-","Restricted Tender","1","PRINTING AND SUPPLY OF 3D METALLIC HOLOGRAPHIC FOILS FOR BIRTHS AND DEATHS REGISTRY","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","24th December, 2020","24th March, 2021","Ghana Cedi","Gh¢7560000.00","INNOLINK LIMITED","","","","-"
"Controller And Accountant General Department","GR/CAGD/GD/0008/20/44","-","Restricted Tender","1","PRINTING AND SUPPLY OF BUSINESS CERTIFICATE CERTIFICATE WITH SECURITY FEATURES FOR REGISTRAR GENERAL DEPARTMENT","Entity Tender Committee","38(b) – Time and Cost disproportionate of value of procurement","22nd December, 2020","25th January, 2021","Ghana Cedi","Gh¢251100.00","DIDDLE ENTERPRISE","","","","-"
"Controller And Accountant General Department","CAGD/ICTM/07/2020","-","Restricted Tender","1","SUPPLY OF IBM INFRASTRUCTURE REFRESH COMPONENTS ARE; 1. SUPPLY OF IBM (HARDWARE/SOFTWARE)INFRASTRUCTURE-COMPUTE AND ACCESSORIES. 2. STORAGE AND ACCESSORIES. 3. IMPLEMENTATION 4.ORACLE NETWORK ACCESSORIES.","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","09th October, 2020","18th December, 2020","USA Dollar","$14854549.76","NETSOLUTIONS GHANA LIMITED","","","","-"
"University of Professional Studies - Accra","ABG/UPS/TTH/02102019TT","-","Restricted Tender","1","Construction of Multi-Purpose Twin Tower Facility For the University of Professional Studies - Accra","ETC/PPA","40 (1)d - Standardization/Compatibility/Limited Size","02nd October, 2019","02nd October, 2022","Ghana Cedi","Gh¢133903558.00","TOP INTERNATIONAL ENGINEERING GHANA LIMITED","","","","-"
"University of Professional Studies - Accra","ABG/UPS/TTH/02102019HB","-","Restricted Tender","1","Construction of 10 Storey Hostel Block B for University of Professional Studies - Accra","ETC/PPA","40 (1)d - Standardization/Compatibility/Limited Size","02nd October, 2019","02nd April, 2021","Ghana Cedi","Gh¢45229682.66","TOP INTERNATIONAL ENGINEERING GHANA LIMITED","","","","-"
"University of Professional Studies - Accra","ABG/UPS/TTH/02102019","-","Restricted Tender","1","Construction of 10 Storey Hostel Block C for University of Professional Studies - Accra","ETC/PPA","40 (1)d - Standardization/Compatibility/Limited Size","02nd October, 2019","02nd April, 2021","Ghana Cedi","Gh¢45229682.66","FT GLOBAL INVESTMENT LIMITED","","","","-"
"Bank of Ghana","GR/BOG/WK/0011/2020","-","Restricted Tender","","REMOVAL OF OF EXISTING ROOF, CORRECTIVE MAINTENANCE WORKS, DEMOLITION OF EXISTING ROOF GUTTERS, CONSTRUCTION OF NEW ROOF GUTTERS, ETC","ETC/PPA","40 (1)b - Urgency","18th February, 2021","17th February, 2021","Ghana Cedi","Gh¢2289299.03","BEROCK VENTURES LIMITED","","","","-"
"Ghana National Petroleum Corporation","GR/CM/GNPC/RT/ITT/GOODS/2020/010","-","Restricted Tender","","Engage a company for the supply of Branding Materials for Corporate use.","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","07th July, 2020","04th August, 2020","Ghana Cedi","Gh¢168714.00","PRINT IMPRESSIONZ","","","","-"
"Ghana Revenue Authority","GR/RT/GRA/GD/008/2020","-","Restricted Tender","LOT 1","Supply of All in One Desktop Computers","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","30th June, 2020","02nd September, 2020","Ghana Cedi","Gh¢39075000.00","IT Market LTD","","P.O, Box KD 759 Kanda - Accra","","-"
"Ghana Revenue Authority","GR/RT/GRA/GD/008/2020","-","Restricted Tender","LOT 3","Supply of APC Smart UPS","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","30th June, 2020","02nd September, 2020","Ghana Cedi","Gh¢1872850.00","IT Market LTD","","P.O, Box KD 759 Kanda - Accra","","-"
"Ghana Revenue Authority","GR/RT/GRA/GD/008/2020","-","Restricted Tender","LOT 2","Supply of HP Laser Jet Printers","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","30th June, 2020","07th October, 2020","Ghana Cedi","Gh¢517900.00","SMART FUSION TRADING LIMITED","","","","-"
"Ghana Revenue Authority","GR/RT/GRA/GD/009/2020","-","Restricted Tender","LOT 1","Procurement of Ceremonial Dress with Ceremonial Gloves Sashes and Accessories","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","26th November, 2020","15th March, 2021","Ghana Cedi","Gh¢9398500.00","OSCARPEARL PROCUREMENT LIMITED","","","","-"
"Ghana Revenue Authority","GR/RT/GRA/GD/009/2020","-","Restricted Tender","","Prefabricated Containerized Data Centre Facility including Rack,Cooling ,Power ,Cabling,Decoration,Fireproof ,Grounding and Data Centre Management System.","Central Tender Review Committee","38(b) – Time and Cost disproportionate of value of procurement","18th August, 2020","26th February, 2021","USA Dollar","$10300000.00","IT Market LTD","","P.O, Box KD 759 Kanda - Accra","","-"
"Social Security and National Insurance Trust (SSNIT)","GR/SSNIT/GD/0011/2019","-","Restricted Tender","","2 in 1 Workstation 228 4 in 1 Workstation 10","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","21st February, 2020","21st May, 2020","Ghana Cedi","Gh¢954622.00","COZY LIVING FURNITURE GHANA LIMITED","","","","-"
"Social Security and National Insurance Trust (SSNIT)","GR/SSNIT/GD/0001/2020","-","Restricted Tender","","Six panel (wall) Calendars - 18,000 pieces Single panel - 150,000 pieces","ETC/PPA","38(b) – Time and Cost disproportionate of value of procurement","06th August, 2020","06th November, 2020","Ghana Cedi","Gh¢281586.38","BUCK PRESS LIMITED","","","","-"
"Social Security and National Insurance Trust (SSNIT)","GR/SSNIT/GD/0002/2020","-","Restricted Tender","1","Various Visitor`s Chairs","PPA/CTRC","38(b) – Time and Cost disproportionate of value of procurement","12th August, 2020","12th November, 2020","Ghana Cedi","Gh¢1826600.00","YEPON VENTURES","","","","-"
"Social Security and National Insurance Trust (SSNIT)","GR/SSNIT/GD/0002/2020","-","Restricted Tender","3","Various Desk","PPA/CTRC","38(b) – Time and Cost disproportionate of value of procurement","12th August, 2020","12th November, 2020","Ghana Cedi","Gh¢1923595.00","QUALITY SUPPLIES & BUIDERS COMPANY LIMITED","","","","-"
"Social Security and National Insurance Trust (SSNIT)","GR/SSNIT/TS/0024/1","-","Restricted Tender","","Local Support for S.S.N.I.T. Oracle Software Applications","ETC/PPA","40 (1)a - Proprietary","24th March, 2020","23rd March, 2021","Ghana Cedi","Gh¢4294367.99","INFONALIGY LIMITED","","","","-"
"Bank of Ghana","GR/BOG/TS/00015/2020","-","Restricted Tender","N/A","PROCUREMENT OF CISCO IDENTITY SERVICES ENGINE(CISCO ISE) NETWORK ACCESS CONTROL SOLUTION FOR THE BANK'S ENTERPRISE NETWORK INFRACTRUCTURE","ETC/PPA","40 (1)f - National Security","12th April, 2021","31st August, 2021","Ghana Cedi","Gh¢1191949.34","APOTICA COMPANY LIMITED","","","","-"
"Ghana Maritime Authority","GMA/WKS/002/18","-","Restricted Tender","","CONTRACT UNDER EXECUTION","Central Tender Review Committee","40 (1)d - Standardization/Compatibility/Limited Size","23rd December, 2020","23rd December, 2022","Ghana Cedi","Gh¢29266139.97","B.G. BUILDERS LIMITED","","","","-"
"Bank of Ghana","GR/BOG/GD/0040/2021","-","Restricted Tender","N/A","PROCUREMENT OF TOYOTA LAND CRUISERS","Central Tender Review Committee","40 (1)d - Standardization/Compatibility/Limited Size","18th July, 2021","28th April, 2021","Ghana Cedi","Gh¢2445000.00","AUTODREAM LIMITED","","","","-"
"Ridge Hospital","GHS/GARH/RT/MED/20/01","-","Restricted Tender","1","ESSENTIAL MEDICINES","Central Tender Review Committee","40 (1)c - National Emergency / Catastrophic Event","01st February, 2021","31st December, 2021","Ghana Cedi","Gh¢8100564.00","OA &J PHARMACEUTICALS LIMITED","","","","-"
"Ridge Hospital","GHS/GARH/RT/MED/20/01","-","Restricted Tender","1","ESSENTIAL MEDICINES","Central Tender Review Committee","40 (1)c - National Emergency / Catastrophic Event","20th January, 2021","31st December, 2021","Ghana Cedi","Gh¢32316.00","ADD PHARMA GH. LTD.","","","","-"
"Ridge Hospital","GHS/GARH/RT/MED/20/01","-","Restricted Tender","1","ESSENTIAL MEDICINES","Central Tender Review Committee","40 (2) - Promote Policy 59(4)(c), (d) or 69(2)(c)(i)","20th January, 2021","31st December, 2021","Ghana Cedi","Gh¢42327.00","BEDITA  PHARMACY LIMITED","","","","-"
"Ridge Hospital","GHS/GARH/RT/MED/20/01","-","Restricted Tender","1","ESSENTIAL MEDICINES","Central Tender Review Committee","40 (1)c - National Emergency / Catastrophic Event","20th January, 2021","31st December, 2021","Ghana Cedi","Gh¢1341029.15","WORLDWIDE HEALTHCARE LIMITED","","","","-"
"Ridge Hospital","GHS/GARH/RT/MED/20/01","-","Restricted Tender","1","ESSENTIAL MEDICINE","Central Tender Review Committee","40 (1)c - National Emergency / Catastrophic Event","20th January, 2021","20th January, 2022","Ghana Cedi","Gh¢51802.00","UNICHEM GHANA LIMITED","","","","-"
"Ridge Hospital","GHS/GARH/RT/MED/20/01","-","Restricted Tender","1","ESSENTIAL MEDICINES","Central Tender Review Committee","40 (1)c - National Emergency / Catastrophic Event","20th January, 2021","20th January, 2022","Ghana Cedi","Gh¢79262369.00","ERNEST CHEMISTS LIMITED","","","","-"
"Ridge Hospital","GHS/GARH/RT/MED/20/01","-","Restricted Tender","1","ESSENTIAL MEDICINES","Central Tender Review Committee","40 (1)c - National Emergency / Catastrophic Event","20th January, 2021","20th January, 2022","Ghana Cedi","Gh¢19162592.00","EAST CANTONMENTS PHARMACY LIMITED","","","","-"
"Ridge Hospital","GHS/GARH/RT/MED/20/01","-","Restricted Tender","1","ESSENTIAL MEDICINES","Central Tender Review Committee","40 (1)c - National Emergency / Catastrophic Event","20th January, 2021","20th January, 2022","Ghana Cedi","Gh¢35095124.00","PHARMANOVA LIMITED","","","","-"
"Ridge Hospital","GHS/GARH/RT/MED/20/01","-","Restricted Tender","1","ESSENTIAL MEDICINES","Central Tender Review Committee","40 (1)c - National Emergency / Catastrophic Event","20th January, 2021","20th January, 2022","Ghana Cedi","Gh¢15253260.00","M&G PHARMCEUTICALS LTD","","","","-"
"Ridge Hospital","GHS/GARH/RT/MED/20/01","-","Restricted Tender","1","ESSENTIAL MEDICINES","Central Tender Review Committee","40 (1)c - National Emergency / Catastrophic Event","20th January, 2021","20th January, 2022","Ghana Cedi","Gh¢5091539.00","TOBINCO PHARMACEUTICALS LIMITED","","","","-"
"Ridge Hospital","GHS/GARH/RT/MED/20/01","-","Restricted Tender","1","ESSENTIAL MEDICINES","Central Tender Review Committee","40 (1)c - National Emergency / Catastrophic Event","20th January, 2021","20th January, 2022","Ghana Cedi","Gh¢58430730.00","PALB PHARMACEUTICALS LIMITED","","","","-"
"Ridge Hospital","GHS/GARH/RT/MED/20/01","-","Restricted Tender","1","ESSENTIAL MEDICINES","Central Tender Review Committee","40 (1)c - National Emergency / Catastrophic Event","20th January, 2021","20th January, 2022","Ghana Cedi","Gh¢58430730.00","PALB PHARMACEUTICALS LIMITED","","","","-"
"Ridge Hospital","GHS/GARH/RT/MED/20/01","-","Restricted Tender","1","ESSENTIAL MEDICINES","Central Tender Review Committee","40 (1)c - National Emergency / Catastrophic Event","20th January, 2021","20th January, 2022","Ghana Cedi","Gh¢476467.94","OSONS CHEMIST LIMITED","","","","-"
