"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Justification:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"Accra Metropolitan Assembly","AWMA/LGCSP-UDG/NCT/WKS/004/2013","NCT","Open Tender","3","LOT 1: Construction of road culverts at Otilmrom, Manhodwe, Asukonteng, Desuenim, Mangoase, Nyamendam and Yaem. Quantity : 8 Delivery Period: 8 months Bid Security: GHÂ¢ 4200  LOT 2: Construction of Storm Drains at Mandela Market, Yarewa Zongo and Old Zongo Quantity : 3 Delivery Period: 6 months Bid Security: GHÂ¢ 1500  LOT 3: Construction of Market Open Sheds Quantity : 4 Delivery Period: 6 months Bid Security: GHÂ¢ 1500  LOT 4: Supply and Installation of Street Lights  Quantity : 120 Delivery Period: 2 months Bid Security: GHÂ¢ 1000","Entity Tender Committee","05th July, 2013","22nd April, 2014","Ghana Cedi","Gh¢136507.00","M/ Kannan Construction","","P. O. Box 3019 Kaneshie Accra","","-"
"Accra Metropolitan Assembly","AWMA/LGCSP-UDG/NCT/WKS/004/2013","NCT","Open Tender","4","LOT 1: Construction of road culverts at Otilmrom, Manhodwe, Asukonteng, Desuenim, Mangoase, Nyamendam and Yaem. Quantity : 8 Delivery Period: 8 months Bid Security: GHÂ¢ 4200  LOT 2: Construction of Storm Drains at Mandela Market, Yarewa Zongo and Old Zongo Quantity : 3 Delivery Period: 6 months Bid Security: GHÂ¢ 1500  LOT 3: Construction of Market Open Sheds Quantity : 4 Delivery Period: 6 months Bid Security: GHÂ¢ 1500  LOT 4: Supply and Installation of Street Lights  Quantity : 120 Delivery Period: 2 months Bid Security: GHÂ¢ 1000","Entity Tender Committee","09th July, 2014","22nd February, 2014","Ghana Cedi","Gh¢56880.00","M/S Westgate Engineering","","P. O. Box KD 524 Kanda Accra","","-"
"Accra Metropolitan Assembly","GR/GCB-QCD/WK/0020/2012","NCT","Open Tender","8","","Central Tender Review Committee","16th January, 2013","14th December, 2013","Ghana Cedi","Gh¢247259378.00","EMANTOS LIMITED","","P. O. BOX AT 11455 ACHIMOTA ACCRA","","-"
"Accra Metropolitan Assembly","GR/MEST/NCT/GD/002/2015","NCT","Open Tender","1","Lot 1:a. Chicken wire/wire meshb. binding wirec. Barbed wired. Metal Poles","Entity Tender Committee","10th September, 2015","23rd September, 2015","Ghana Cedi","Gh¢1090309.29","Zak-Ziz Enterprise","","","","-"
"Accra Metropolitan Assembly","GRA/HQ/NCT/06/2014","NCT","Open Tender","","PROCUREMENT OF PRINTERS AND ACCESSORIES","Central Tender Review Committee","31st March, 2015","30th April, 2015","Ghana Cedi","Gh¢272488.00","IPMC","","P. O. Box AN7617 Accra-North Accra","","-"
"Accra Metropolitan Assembly","MOFA/RTIMP/ICB/2012/01","ICT","Open Tender","1","4WD Double Cabin Pickups - 12","Entity Tender Committee","30th September, 2012","30th November, 2102","USA Dollar","$327373.32","Messers Toyota Ghana Limited","","P. O. Box 1644 Accra","","-"
"Accra Metropolitan Assembly","MOFA/WAAPP/GE/NCB/2013/05","NCT","Open Tender","4","The West Africa Agricultural Productivity Programme (WAAPP) of the Ministry of Food and Agriculture, (MOFA), invites sealed bids from eligible bidders for the Goods Procurement listed below.      FIELD MATERIALS & EQUIPMENT  QUANTITY: VARIOUS  BID SECURITY: GHC 2500  DELIVERY SCHEDULE: 60DAYS    1. Address for Bid Submission  Project Coordinator, WAAPP    Street Address:  WEST AFRICA AGRICULTURAL PRODUCTIVITY PROGRAMME (WAAPP)                  Ministry of Food and Agriculture, P O Box M.37, Accra, Ghana  Room number: 2, 3, and 4    Accra, Ghana      2. Address for Bid Opening   Conference Room of the Ministry of Food and Agriculture Information Resource Centre, Accra in the vicinity of Aglow Chemicals and the Greater-Accra Regional MoFA Offices","Ministerial Tender Review Committee","19th November, 2013","16th December, 2013","USA Dollar","$129760.00","Buildtrust Company Limited","","BUILDTRUST COMPANY LIMITED P.O.BOX AN12595 ACCRA-NORTH","","-"
"Accra Metropolitan Assembly","MOH/2014/NCT/B.2.1/01","NCT","Open Tender","Lot 1","International Nonproprietary Name:Sulfadoxine/Pyrimethamine + Amodiaquine Hydrochloride  Dosage Form: Tablet  Strength: 500mg/25mg + 200mg   Packaging :Blister Pack  Unit Pack: 1+3 (Co-blister pack)   Pack Quantity:  2,328,551   Total Quantity: 9,314,206","Central Tender Review Committee","15th April, 2014","15th July, 2014","Ghana Cedi","Gh¢2775928.31","Kinapharma Limited","","P. O. Box 241, Trade Fair, LA, Accra","","-"
"Accra Polytechnic","","-","Open Tender","12","Supply of Certificate Folders","Entity Tender Committee","28th October, 2013","16th December, 2013","Ghana Cedi","Gh¢37500.00","Hallel Ventures","","P. O. Box CT 5206, Cantonments, Accra","","-"
"Accra Polytechnic","","-","Open Tender","12","supply of Certificate folders","Entity Tender Committee","28th October, 2013","16th December, 2013","Ghana Cedi","Gh¢37500.00","Hallel Ventures","","P. O. Box CT 5206, Cantonments, Accra","","-"
"Accra Polytechnic","","-","Open Tender","2","Supply of 2014 Corporate Diaries","Entity Tender Committee","28th October, 2013","08th December, 2013","Ghana Cedi","Gh¢25500.00","Hallel Ventures","","P. O. Box CT 5206, Cantonments, Accra","","-"
"Accra Polytechnic","","-","Open Tender","2","Supply of 2014 Corporate Diaries","Entity Tender Committee","28th October, 2013","08th December, 2013","Ghana Cedi","Gh¢25500.00","Hallel Ventures","","P. O. Box CT 5206, Cantonments, Accra","","-"
"Accra Polytechnic","","-","Open Tender","2","Supply of 2014 Corporate Diaries","Entity Tender Committee","28th October, 2013","08th December, 2013","Ghana Cedi","Gh¢25500.00","Hallel Ventures","","P. O. Box CT 5206, Cantonments, Accra","","-"
"Accra Polytechnic","","-","Open Tender","2","Supply of 2014 Corporate Diaries","Entity Tender Committee","28th October, 2013","08th December, 2013","Ghana Cedi","Gh¢25500.00","Hallel Ventures","","P. O. Box CT 5206, Cantonments, Accra","","-"
"Accra Polytechnic","","-","Open Tender","2b","Supply of 2015 Corporate Diaries","Entity Tender Committee","20th October, 2014","28th November, 2014","Ghana Cedi","Gh¢15200.00","Below The Line","","P. O. Box CT 5744 Accra","","-"
"Accra Polytechnic","AP/LAPCOM/01/2011","-","Single Sourced","1","","Entity Tender Committee","-","16th November, 2011","16th December, 2011","Ghana Cedi","Gh¢120000.00","High Tech World","","","","-"
"Accra Polytechnic","GR/APOLY/00030/13,","NCT","Open Tender","12","","Entity Tender Committee","28th October, 2013","16th December, 2013","Ghana Cedi","Gh¢37500.00","Hallel Ventures","","P. O. Box CT 5206, Cantonments, Accra","","-"
"Accra Polytechnic","GR/APOLY/GD/0001/13","NCT","Open Tender","2","QUANTITY : 1400  TENDER SECURITY: 2% OF TOTAL TENDER PRICE","Entity Tender Committee","28th October, 2013","08th December, 2013","Ghana Cedi","Gh¢25500.00","Hallel Ventures","","P. O. Box CT 5206, Cantonments, Accra","","-"
"Accra Polytechnic","GR/APOLY/GD/00010/13","NCT","Open Tender","10","QUANTITY : 1500  TENDER SECURITY: 2% OF TOTAL TENDER PRICE","Entity Tender Committee","28th October, 2013","08th December, 2013","Ghana Cedi","Gh¢8500.00","Hallel Ventures","","P. O. Box CT 5206, Cantonments, Accra","","-"
"Accra Polytechnic","GR/APOLY/GD/0002/13","NCT","Open Tender","8","QUANTITY : 500  TENDER SECURITY: 2% OF TOTAL TENDER PRICE","Entity Tender Committee","28th October, 2013","28th November, 2013","Ghana Cedi","Gh¢39600.00","Ashanti Foam Factory Limited","","P. O. Box 7136 Accra-North Accra","","-"
"Accra Polytechnic","GR/APOLY/GD/00027/13","NCT","Open Tender","4","QUANTITY : 200  TENDER SECURITY: 2% OF TOTAL TENDER PRICE","Entity Tender Committee","28th October, 2013","08th December, 2013","Ghana Cedi","Gh¢50000.32","Ostenfield Enterprise","","P. O. Box 347, Teshie-Nungua, Accra","","-"
"Accra Polytechnic","GR/APOLY/GD/00028/13","NCT","Open Tender","","QUANTITY : 600  TENDER SECURITY: 2% OF TOTAL TENDER PRICE","Entity Tender Committee","-","-","Ghana Cedi","Gh¢0.00","","","","","-"
"Accra Polytechnic","GR/APOLY/GD/00028/13","NCT","Open Tender","","QUANTITY : 600  TENDER SECURITY: 2% OF TOTAL TENDER PRICE","Entity Tender Committee","-","-","Ghana Cedi","Gh¢0.00","","","","","-"
"Accra Polytechnic","GR/APOLY/GD/00029/13","NCT","Open Tender","11","QUANTITY : 3000  TENDER SECURITY: 2% OF TOTAL TENDER PRICE","Entity Tender Committee","28th October, 2013","12th November, 2013","Ghana Cedi","Gh¢18975.00","Derisco Company Limited","","Box AT 1426","","-"
"Accra Polytechnic","GR/APOLY/GD/0005/13","NCT","Open Tender","3","QUANTITY : 40ea  TENDER SECURITY: 2% OF TOTAL TENDER PRICE","Entity Tender Committee","28th October, 2013","20th December, 2013","Ghana Cedi","Gh¢28000.00","Apex Investment (GH) Limited","","Box GP 2492 Accra","","-"
"Accra Polytechnic","GR/APOLY/GD/0011/13","NCT","Open Tender","","QUANTITY:   4 Photocopiers  10 Printers","Entity Tender Committee","23rd August, 2013","-","Ghana Cedi","Gh¢0.00","Ultimate Supplies Ltd","","Kojo Thompson Road Adabraka, Accra","","-"
"Accra Polytechnic","GR/APOLY/GD/0024/13","NCT","Open Tender","","QUANTITY: 30 air conditioners and 30 tle top fridges","Entity Tender Committee","-","-","Ghana Cedi","Gh¢0.00","","","","","-"
"Accra Polytechnic","GR/APOLY/GD/0024/13","NCT","Open Tender","","QUANTITY: 30 air conditioners and 30 tle top fridges","Entity Tender Committee","18th August, 2015","19th December, 2015","Ghana Cedi","Gh¢39101.04","IPMC","","P. O. Box AN7617 Accra-North Accra","","-"
"Accra Polytechnic","GR/APOLY/GD/0024/13","NCT","Open Tender","","QUANTITY: 30 air conditioners and 30 tle top fridges","Entity Tender Committee","18th August, 2015","19th December, 2015","Ghana Cedi","Gh¢39101.04","IPMC","","P. O. Box AN7617 Accra-North Accra","","-"
"Accra Polytechnic","GR/APOLY/GD/0024/13","NCT","Open Tender","6","QUANTITY: 30 air conditioners and 30 tle top fridges","Entity Tender Committee","23rd August, 2013","-","Ghana Cedi","Gh¢57000.00","MADSON JAPAN ENG.(GH) LTD","","MADSON JAPAN ENG.(GH) LTD P.O.BOX 16990 ACCRA-NORTH","","-"
"Accra Polytechnic","GR/APOLY/GD/005/13","NCT","Open Tender","3","QUANTITY: 3000","Entity Tender Committee","02nd July, 2013","30th August, 2013","Ghana Cedi","Gh¢24540.00","Frontiers printing and Publishing Ltd","","P.O.BOX CT 1953 Cantonments Accra","","-"
"Accra Polytechnic","GR/APOLY/GD/009/13","NCT","Open Tender","","","Entity Tender Committee","02nd July, 2013","30th August, 2013","Ghana Cedi","Gh¢37950.00","White Walnut Ghana Limited","","P.O Box 4018 Cantonments,Accra","","-"
"Accra Polytechnic","GR/APOLY/WK/001/13","NCT","Open Tender","","","Entity Tender Committee","23rd August, 2013","30th October, 2013","Ghana Cedi","Gh¢40025.00","K. B. Central Construction","","P. O. GP 8200 Accra-North Accra","","-"
"Accra Polytechnic","GR/APOLY/WK/001/13","NCT","Open Tender","7","","Entity Tender Committee","23rd August, 2013","30th October, 2013","Ghana Cedi","Gh¢40025.35","K. B. Central Construction","","P. O. GP 8200 Accra-North Accra","","-"
"Accra Polytechnic","GR/APoly/GD/00012A/16","NCT","Open Tender","","Supply of Mini Bus - Various","Entity Tender Committee","08th August, 2016","30th November, 2016","Ghana Cedi","Gh¢151840.00","Toyota Ghana Limited","","P. O. Box 1644 Accra-Ghana","","-"
"Accra Polytechnic","GR/APoly/GD/00012B/16","NCT","Open Tender","6","Supply of Pick Up Vehicles - Various","Entity Tender Committee","08th August, 2016","30th November, 2016","Ghana Cedi","Gh¢265500.00","","","bOX AN 5216 Accra North","","-"
"Accra Polytechnic","GR/APoly/GD/00013/15","NCT","Open Tender","","QUANTITY:15PCS","Entity Tender Committee","16th December, 2015","19th December, 2015","Ghana Cedi","Gh¢77500.00","Madson Japan Engineering Gh Limited","","P.O. Box 16990 Accra-North Accra","","-"
"Accra Polytechnic","GR/APoly/GD/00017/16","NCT","Open Tender","1","Tender will be valid for 120 DaysTender Security - 2% of Tender Price","Entity Tender Committee","08th August, 2016","30th November, 2016","Ghana Cedi","Gh¢765880.00","Sparkx Ghana Ltd","","Box GP 834 Accra","","-"
"Accra Polytechnic","GR/APoly/GD/0001A/16","NCT","Open Tender","1","Supply of 2017 Corporate Diaries - Qty 700","Entity Tender Committee","12th August, 2016","30th November, 2016","Ghana Cedi","Gh¢24000.00","","","Box CT 5206 Cantonment Accra","","-"
"Accra Polytechnic","GR/APoly/GD/00020/15","NCT","Open Tender","2","QUANTITY:100PCS","Ministerial Tender Review Committee","02nd November, 2015","19th December, 2015","Ghana Cedi","Gh¢387623.55","MERICOM SOLUTIONS","","P.O.BO CO819 TEMA","","-"
"Accra Polytechnic","GR/APoly/GD/00020/16","NCT","Open Tender","","Supply of Student Log Book - Qty 5,000","Entity Tender Committee","03rd August, 2016","30th November, 2016","Ghana Cedi","Gh¢5522.50","Sakoa Press Limited","","P. O. Box AN11590, Accra North","","-"
"Accra Polytechnic","GR/APoly/GD/00020/16","NCT","Open Tender","5","Supply of Student Log Book - Qty 5,000","Entity Tender Committee","02nd August, 2016","30th November, 2016","Ghana Cedi","Gh¢26149.33","IPMC Limited","","P. O. Box AN7617, Accra North","","-"
"Accra Polytechnic","GR/APoly/GD/00021/15","NCT","Open Tender","3","QUANTITY:50PCS","Ministerial Tender Review Committee","02nd November, 2015","19th December, 2015","Ghana Cedi","Gh¢259164.48","MERICOM SOLUTIONS","","P.O.BO CO819 TEMA","","-"
"Accra Polytechnic","GR/APoly/GD/00021/15","NCT","Open Tender","3","QUANTITY:50PCS","Ministerial Tender Review Committee","02nd November, 2015","19th November, 2015","Ghana Cedi","Gh¢259164.48","MERICOM SOLUTIONS","","P.O.BO CO819 TEMA","","-"
"Accra Polytechnic","GR/APoly/GD/00026/16","NCT","Open Tender","6","Supply of Certificate Folders - Qty 5,000","Entity Tender Committee","05th September, 2016","30th November, 2016","Ghana Cedi","Gh¢80000.00","Hallel Ventures","","P. O. Box CT 5206, Cantonments, Accra","","-"
"Accra Polytechnic","GR/APoly/GD/00028/16","NCT","Open Tender","1","Supply of Computers and Accessories - Qty 200","Entity Tender Committee","08th August, 2016","30th November, 2016","Ghana Cedi","Gh¢700000.00","MADSON JAPAN ENGINEERING GHANA LIMITED","","P.O. BOX 16990, ACCRA","","-"
"Accra Polytechnic","GR/APoly/GD/0003/16","NCT","Open Tender","","Supply of Answer Booklets - Qty 230,000","Entity Tender Committee","08th August, 2016","30th November, 2016","Ghana Cedi","Gh¢91770.00","Kedard Office Equipment","","P.O. Box KT. 147, Kotobabi, Accra, Ghana","","-"
"Accra Polytechnic","GR/APoly/GD/00032/16","NCT","Open Tender","6","Supply and Installation of Generator - Qty 1","Entity Tender Committee","20th September, 2016","22nd December, 2016","Ghana Cedi","Gh¢591085.00","Elkhart Limited","","Box 2026 Dansoman Accra","","-"
"Accra Polytechnic","GR/Apoly/GD/0001/14","NCT","Open Tender","4","Supply of Answer Booklets  Qty:200000booklets","Entity Tender Committee","04th July, 2014","28th October, 2014","Ghana Cedi","Gh¢61850.00","Derisco Company Ltd","","box AT 1426 Achimota - Accra","","-"
"Accra Polytechnic","GR/Apoly/GD/00011/16","NCT","Open Tender","","Qty:10pcs","Entity Tender Committee","02nd August, 2016","30th November, 2016","Ghana Cedi","Gh¢8000.00","PERFECT BUSINESS SYSTEMS","","P. O. BOX GP 13724 ACCRA","","-"
"Accra Polytechnic","GR/Apoly/GD/00020/14","NCT","Open Tender","7","Supply of Desktop Computers & UPS  Qty:100pcs","Ministerial Tender Review Committee","10th November, 2014","02nd February, 2015","Ghana Cedi","Gh¢279810.00","Mericom Solution (GH) Ltd","","p.o.box co 819 Tema","","-"
"Accra Polytechnic","GR/Apoly/GD/00027/16","NCT","Open Tender","","Qty:2000reams","Entity Tender Committee","02nd August, 2016","30th November, 2016","Ghana Cedi","Gh¢25615.00","Docutech Ghana Ltd","","Box 190 Trade Fair Accra","","-"
"Accra Polytechnic","GR/Apoly/GD/00029/16","NCT","Open Tender","7","Qty:64pcs","Entity Tender Committee","29th August, 2016","30th November, 2016","Ghana Cedi","Gh¢57600.19","Daasco International Ltd","","Box OS 1488 Osu Accra","","-"
"Accra Polytechnic","GR/Apoly/GD/00030A/2016","NCT","Open Tender","3","Qty:various","Entity Tender Committee","08th August, 2016","30th November, 2016","Ghana Cedi","Gh¢796500.00","Japan Motors","","P.O.Box AN 5216 Accra-North","","-"
"Accra Polytechnic","GR/Apoly/GD/0004a/14","NCT","Open Tender","2","Supply of 2015 Calendars","Entity Tender Committee","20th October, 2014","28th November, 2014","Ghana Cedi","Gh¢7285.00","Buck Press Limited","","P. O. Box AN12321, Accra North","","-"
"Accra Polytechnic","GR/Apoly/GD/0006/14","NCT","Open Tender","8","Servers And Network Equipment    Qty:Various","Entity Tender Committee","27th August, 2014","30th September, 2014","Ghana Cedi","Gh¢82277.17","IPMC","","P. O. Box AN7617 Accra-North Accra","","-"
"Accra Polytechnic","GR/Apoly/GD/0008/14","NCT","Open Tender","3","Supply of Desktop Computers & UPS  Qty:80pcs","Ministerial Tender Review Committee","10th November, 2014","02nd February, 2015","Ghana Cedi","Gh¢257082.19","INTU - IT Ltd","","PMB KD 50,Kanda - Accra","","-"
"Accra Polytechnic","Gr/Apoly/GD/0001B/16","NCT","Open Tender","2","Qty:1400pcs","Entity Tender Committee","03rd August, 2016","30th November, 2016","Ghana Cedi","Gh¢10868.75","","","Box AN 11590 Accra North","","-"
