"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Justification:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"Ministry of Health","MOH/2020/DS/B.2.5/55/C01","-","Single Sourced","1","Supply of Hand Sanitisers for the Ministry of Health COVID-19 Emergency Preparedness Response Plan with Funding from the World Bank","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","06th April, 2020","06th August, 2020","Ghana Cedi","Gh¢1843700.00","E-CONNECT GLOBAL AFRICA LIMITED (Ghana)","nfrimponmaa11@gmail.com","2 BANANA STREET, EAST LEGON-ACCRA","0555339455","-"
"Ministry of Health","MOH/2020/DS/B.2.5/22/C01","-","Single Sourced","1","Supply of Hand Sanitisers for the Ministry of Health COVID-19 Emergency Preparedness Response Plan with Funding from the World Bank","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","16th April, 2020","18th August, 2020","Ghana Cedi","Gh¢1760640.00","ENTRANCE PHARMACEUTICAL & RESEARCH CENTRE (Ghana)","info@entranceindustries.com","P.O BOX CT 10805, ACCRA-GHANA","0507067750/0302234375","-"
"Ministry of Health","MOH/2020/DS/B.2.5/23/C01","-","Single Sourced","1","Supply of Hand Sanitisers for the Ministry of Health COVID-19 Emergency Preparedness Response Plan with Funding from the World Bank","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","17th April, 2020","17th August, 2020","Ghana Cedi","Gh¢1050000.00","TAABEA COMPANY LIMITED (Ghana)","info@taabeagroup.com","PLOT 24 BLOCK U, APUTUOGYA, KUMASI-GHANA","0245749206","-"
"Ministry of Health","MOH/2020/DS/A.1.1/16/C01","-","Single Sourced","1","Supply and Installation of Medical Equipment for the Ministry of Health COVID-19 Emergency Preparedness Response Plan with Funding from the World Bank","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","16th April, 2020","16th September, 2020","USA Dollar","$4362000.00","ADB GHANA LIMITED (Ghana)","adb.sciencetific@yahoo.com","PLOT 1 BLOCK FTUC, KUMASI-ACCRA","0207201014","-"
"Ministry of Health","MOH/2020/DS/B.2.5/124/C01","-","Single Sourced","1","Fumigation and Disinfection of Nursing Training Colleges for the Ministry of Health COVID-19 Emergency Preparedness Response Plan with funding from the World Bank","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","25th May, 2020","26th October, 2020","Ghana Cedi","Gh¢2291200.00","J. A. BINEY AND COMPANY LIMITED","","","","-"
"Ghana College of Nurses and Midwives","GR/GCNW/TS/0003/2020","-","Single Sourced","1","Single Source Procurement Method to procure the services of Messrs. Trinity Interactive Limited for the Maintenance of the College's Website, Management of its online activities,School management system and Online library management system.","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","08th January, 2020","31st December, 2020","Ghana Cedi","Gh¢60000.00","Trinity interactive limited","trinityint@gmail.com","Trinity interactive limited","1","-"
"Quality Control Company Limited","GR/GCB-QCD/GD/0004/2020","-","Single Sourced","1","Full face mask with Cartridges","ETC/PPA","40 (1)a - Proprietary","24th August, 2020","27th November, 2020","Ghana Cedi","Gh¢719400.00","ENUS COMPANY LIMITED","","","","-"
"Quality Control Company Limited","GR/GCB-QCD/GD/0009/2020","-","Single Sourced","1","TERMITICIDE","ETC/PPA","40 (1)a - Proprietary","17th September, 2020","17th December, 2020","USA Dollar","$560000.00","BB AGROCHEM LIMITED","","","","-"
"Ministry of Health","MOH/2020/DS/B.2.5/46/C01","-","Single Sourced","1","SUPPLY OF PERSONAL PROTECTIVE EQUIPMENT FOR MINISTRY OF HEALTH COVID-19 EMERGENCY PREPAREDNESS RESPONSE PLAN WITH WORLD BANK FUNDING(CERC)","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","17th April, 2020","16th July, 2020","Ghana Cedi","Gh¢2023950.00","BEAUTIFUL CREATIONS COMPANY LIMITED","","","","-"
"Ministry of Health","MOH/2020/DS/B.2.5/63/C01","-","Single Sourced","1","SUPPLY OF NON-DRUG MEDICAL CONSUMABLES FOR MINISTRY OF HEALTH COVID-19 EMERGENCY PREPAREDNESS RESPONSE PLAN WITH WORLD BANK FUNDING(CERC","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","18th June, 2020","16th September, 2020","Ghana Cedi","Gh¢2350623.77","BEAUTIFUL CREATIONS COMPANY LIMITED","","","","-"
"Ministry of Health","MOH/2020/DS/B.2.5/117/C01","-","Single Sourced","1","SUPPLY OF HAND SANITIZERS AND HAND WASHING LIQUID SOAP FOR MINISTRY OF HEALTH COVID-19 EMERGENCY PREPAREDNESS RESPONSE PLAN WITH WORLD BANK FUNDING(CERC)","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","12th June, 2020","10th September, 2020","Ghana Cedi","Gh¢507790.00","EL-GREEN AGRO BUSINESS LIMITED (Ghana)","elgreenagrobusiness@gmail.com","P.O BOX CT 401, CANTONMENTS-ACCRA","0244269558","-"
"Ministry of Health","MOH/ID/CIPMU/COVTC/SS/WKS/2020/008","-","Single Sourced","1","REMODELLING AND EQUIPING OF THE LEASED FACILTY IN HO AS TREATMENT AND HOLDING CENTRE FOR MINISTRY OF HEALTH","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","21st April, 2020","18th October, 2020","Ghana Cedi","Gh¢14820000.00","ADB GHANA LIMITED (Ghana)","adb.sciencetific@yahoo.com","PLOT 1 BLOCK FTUC, KUMASI-ACCRA","0207201014","-"
"Ministry of Health","MOH/2020/DS/B.2.5/75/C01","-","Single Sourced","1","SUPPLY OF HAND SANITIZERS FOR MINISTRY OF HEALTH COVID-19 EMERGENCY PREPAREDNESS RESPONSE PLAN WITH WORLD BANK FUNDING(CERC","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","25th May, 2020","23rd August, 2020","Ghana Cedi","Gh¢1890000.00","ENTRANCE PHARMACEUTICAL & RESEARCH CENTRE (Ghana)","info@entranceindustries.com","P.O BOX CT 10805, ACCRA-GHANA","0507067750/0302234375","-"
"Ministry of Health","MOH/ID/CIPMU/COVTC/SS/WKS/2020/002","-","Single Sourced","1","REMODELLING OF THE OLD DODOWA HOSPITAL AS TREATMENT AND HOLDING CENTRE FOR MINISTRY OF HEALTH","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","21st April, 2020","18th October, 2020","Ghana Cedi","Gh¢12112500.00","GOLD COAST PIONEER CONSTRUCTION LIMITED","","","","-"
"Ministry of Health","KBTH/PU/WKS/SSP/001/2020","-","Single Sourced","1","CONSTRUCTION OF COVID-19 ISOLATION AND TREATMENT FACILTY AT KORLE-BU TEACHING HOSPITAL FOR MINISTRY OF HEALTH","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","21st April, 2020","20th June, 2020","Ghana Cedi","Gh¢1632053.85","BENPARTNERS BUILDING COMPANY LIMITED","","","","-"
"Ministry of Health","MOH/2020/DS/B.3.0/37/C01","-","Single Sourced","1","SUPPLY OF IZAL DISINFECTANTS FOR MINISTRY OF HEALTH COVID-19 EMERGENCY PREPAREDNESS RESPONSE PLAN WITH WORLD BANK FUNDING(CERC)","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","16th April, 2020","15th July, 2020","Ghana Cedi","Gh¢220000.00","ERNEST CHEMISTS LIMITED","","","","-"
"Ministry of Health","MOH/2020/DS/B.2.1/39/C01","-","Single Sourced","1","SUPPLY OF ESSENTIAL MEDICINES FOR MINISTRY OF HEALTH COVID-19 EMERGENCY PREPAREDNESS RESPONSE PLAN WITH WORLD BANK FUNDING(CERC)","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","25th April, 2020","25th July, 2020","Ghana Cedi","Gh¢153734.80","HERONA COMANY LIMITED","","","","-"
"Ministry of Health","MOH/2020/DS/B.2/66/C01","-","Single Sourced","1","SUPPLY OF NON-DRUG MEDICAL CONSUMABLES FOR MINISTRY OF HEALTH COVID-19 EMERGENCY PREPAREDNESS RESPONSE PLAN WITH WORLD BANK FUNDING(CERC)","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","10th April, 2020","09th July, 2020","Ghana Cedi","Gh¢744405.85","HERONA COMANY LIMITED","","","","-"
"Ministry of Health","MOH/2020/DS/B.2.1/67/C01","-","Single Sourced","1","SUPPLY OF ESSENTIAL MEDICINES FOR MINISTRY OF HEALTH COVID-19 EMERGENCY PREPAREDNESS RESPONSE PLAN WITH WORLD BANK FUNDING(CERC)","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","23rd April, 2020","22nd July, 2020","Ghana Cedi","Gh¢302091.34","HERONA COMANY LIMITED","","","","-"
"Ministry of Health","MOH/2020/DS/B.2.5/47/C01","-","Single Sourced","1","SUPPLY OF PERSONAL PROTECTIVE EQUIPMENT FOR MINISTRY OF HEALTH COVID-19 EMERGENCY PREPAREDNESS RESPONSE PLAN WITH WORLD BANK FUNDING(CERC)","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","17th April, 2020","16th July, 2020","Ghana Cedi","Gh¢1078719.00","HRH 54 MERCANTILE COMPANY LIMITED (Ghana)","drossei54@gmail.com","P.O BOX 285,KUMASI-GHANA","0208139793","-"
"Ministry of Health","MOH/2020/DS/B.2.1/29/C01","-","Single Sourced","1","SUPPLY OF ESSENTIAL MEDICINES FOR MINISTRY OF HEALTH COVID-19 EMERGENCY PREPAREDNESS RESPONSE PLAN WITH WORLD BANK FUNDING(CERC)","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","16th April, 2020","15th July, 2020","Ghana Cedi","Gh¢48087.90","INTRAVENOUS INFUSIONS PLC","","","","-"
"Ministry of Health","MOH/2020/B.2.5/60/C01","-","Single Sourced","1","SUPPLY OF CLEANING DETERGENTS FOR MINISTRY OF HEALTH COVID-19 EMERGENCY PREPAREDNESS RESPONSE PLAN WITH WORLD BANK FUNDING(CERC)","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","17th April, 2020","16th July, 2020","Ghana Cedi","Gh¢875500.00","LITTLE NAPPYWORLD (Ghana)","Hilpeth@gmail.com","P.O BOX CT 6061, CANTONMENT, ACCRA","0244669713","-"
"Ministry of Health","MOH/2020/DS/B.2.1/40/C01","-","Single Sourced","1","Supply of Essential Medicines for the Ministry of Health COVID-19 Emergency Preparedness Response Plan","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","16th April, 2020","15th July, 2020","Ghana Cedi","Gh¢17851.50","TOBINCO PHARMACEUTICALS LIMITED","","","","-"
"Ministry of Health","MOH/2020/DS/B.2.5/132/C01","-","Single Sourced","1","SUPPLY OF VERONICA BUCKETS FOR MINISTRY OF HEALTH COVID-19 EMERGENCY PREPAREDNESS RESPONSE PLAN WITH WORLD BANK FUNDING(CERC)","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","20th May, 2020","18th August, 2020","Ghana Cedi","Gh¢772500.00","MAYRIT CUISINES LIMITED (Ghana)","mayritcuisine@gmail.com","P.O BOX KD 726, KANDA-ACCRA","0244260990","-"
"Ministry of Health","MOH/2020/DS/A.1/35/C01","-","Single Sourced","1","Supply of Large Waste Bins with Bin Liners, Special Cleaning Mobs and Mechanised Disinfection Chemical Bousers for MOH","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","17th April, 2020","16th July, 2020","Ghana Cedi","Gh¢1174000.00","STEPED LAUNDRY & FACILITIES MANAGEMENT SERVICES (Ghana)","stepedgh@gmail.com","P.O BOX CT 3112, CANTONMENT-ACCRA","0208163222","-"
"Ministry of Health","MOH/2020/DS/B.2.5/49/C01","-","Single Sourced","1","SUPPLY OF PERSONAL PROTECTIVE EQUIPMENT AND INFECTION PREVENTIVE AND CONTROL EQUIPMENTFOR MINISTRY OF HEALTH COVID-19 EMERGENCY PREPAREDNESS RESPONSE PLAN WITH WORLD BANK FUNDING(CERC)","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","16th April, 2020","15th July, 2020","Ghana Cedi","Gh¢453200.00","MPONNA KWAO VENTURES (Ghana)","franksarfo@yahoo.com","P.O BOX 5331, ACCRA-NORTH","0543821611","-"
"Ministry of Health","MOH/2020/DS/B.2.5/157/C01","-","Single Sourced","1","Supply of Personal Protective Equipment for the Ministry of Health COVID-19 Emergency Preparedness Response Plan","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","10th June, 2020","08th September, 2020","Ghana Cedi","Gh¢5654700.00","SLEEK GARMENTS EXPORT LIMITED (Ghana)","norabman@gmail.com","P.O BOX OS 486, OSU-ACCRA","0244313433","-"
"Ministry of Health","MOH/2020/DS/B.2.1/36/C01","-","Single Sourced","1","SUPPLY OF ESSENTIAL MEDICINES FOR MINISTRY OF HEALTH COVID-19 EMERGENCY PREPAREDNESS RESPONSE PLAN WITH WORLD BANK FUNDING(CERC)","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","16th April, 2020","15th July, 2020","Ghana Cedi","Gh¢6262.17","OA &J PHARMACEUTICALS LIMITED","","","","-"
"Ministry of Health","MOH/2020/DS/B.2.5/94/C01","-","Single Sourced","1","Supply of Personal Protective Equipment for the Ministry of Health COVID-19 Emergency Preparedness Response Plan","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","01st June, 2020","30th August, 2020","Ghana Cedi","Gh¢1044749.60","SIGMA EXPORT PROMOTION LIMITED (Ghana)","drsinclair@gmail.com","P.O BOX 3848, MAMPROBI-ACCRA","0248138596","-"
"Ministry of Health","MOH/2020/DS/B.2.1/27/C01","-","Single Sourced","1","SUPPLY OF CENTOL NATURAL DISINFECTANTS FOR MINISTRY OF HEALTH COVID-19 EMERGENCY PREPAREDNESS RESPONSE PLAN WITH WORLD BANK FUNDING(CERC)","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","16th April, 2020","15th July, 2020","Ghana Cedi","Gh¢184000.00","PATHOS AIB LIMITED (Ghana)","pathosgh@gmail.com","P.O BOX 505, KANESHIE, ACCRA-GHANA","0242774828/0505785440","-"
"Ministry of Health","MOH/2020/DS/B.2.1/42/C01","-","Single Sourced","1","Supply of Essential Medicines for the Ministry of Health COVID-19 Emergency Preparedness Response Plan","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","15th April, 2020","14th July, 2020","Ghana Cedi","Gh¢414000.00","ROCK CHEMISTS","","","","-"
"Ministry of Health","MOH/2020/DS/B.2.1/62/C01","-","Single Sourced","1","SUPPLY OF ESSENTIAL MEDICINES FOR MINISTRY OF HEALTH COVID-19 EMERGENCY PREPAREDNESS RESPONSE PLAN WITH WORLD BANK FUNDING(CERC)","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","25th April, 2020","24th July, 2020","Ghana Cedi","Gh¢1809861.70","PHARMANOVA LIMITED","","","","-"
"Ministry of Health","MOH/2020/DS/B.2.1/85/C01","-","Single Sourced","1","Supply of Hand Sanitizers for the Ministry of Health COVID-19 Emergency Preparedness Response Plan","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","04th June, 2020","02nd September, 2020","Ghana Cedi","Gh¢638600.00","PROPHARM CHEMISTS LIMITED","","","","-"
"Ministry of Health","MOH/2020/DS/B.2.5/93/C01","-","Single Sourced","1","SUPPLY OF ESSENTIAL MEDICINES FOR MINISTRY OF HEALTH COVID-19 EMERGENCY PREPAREDNESS RESPONSE PLAN WITH WORLD BANK FUNDING(CERC)","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","04th June, 2020","02nd September, 2020","Ghana Cedi","Gh¢8037.30","PHARMANOVA LIMITED","","","","-"
"Ministry of Health","MOH/2020/DS/B.2.1/21/C01","-","Single Sourced","1","Supply of Hand Sanitisers for the Ministry of Health COVID-19 Emergency Preparedness Response Plan with Funding from the World Bank","PPA/CTRC","40 (1)c - National Emergency / Catastrophic Event","16th April, 2020","15th July, 2020","Ghana Cedi","Gh¢1023000.00","PROPHARM CHEMISTS LIMITED","","","","-"
"Ministry of Health","MOH/2020/DS/B.2.5/119/C01","-","Single Sourced","1","Supply of Hand Sanitizers for the Ministry of Health COVID-19 Emergency Preparedness Response Plan","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","18th June, 2020","16th September, 2020","Ghana Cedi","Gh¢401700.00","PRIJOPHARMA LIMITED (Ghana)","jpoku1@yahoo.com","P.O BOX M171 MADINA-ACCRA","0202010103","-"
"Ministry of Health","MOH/2020/DS/B.2.5/118/C01","-","Single Sourced","1","SUPPLY OF PERSONAL PROTECTIVE EQUIPMENT FOR MINISTRY OF HEALTH COVID-19 EMERGENCY PREPAREDNESS RESPONSE PLAN WITH WORLD BANK FUNDING(CERC)","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","26th May, 2020","23rd August, 2020","Ghana Cedi","Gh¢406850.00","PHARMATRUST LIMITED","","","","-"
"Ministry of Health","MOH/2020/DS/B.3.0/145/C01","-","Single Sourced","1","Supply of Cleaning Soap and Beach for the Ministry of Health COVID-19 Emergency Preparedness Response Plan","ETC/PPA","40 (1)c - National Emergency / Catastrophic Event","17th June, 2020","15th September, 2020","Ghana Cedi","Gh¢247200.00","PJ'S DYSTOL VENTURES (Ghana)","pjsdystol@yahoo.com","P.O BOX 13465, ACCRA-GHANA","0244624526","-"
"Ghana Water Company Limited","GR/GWCL/WK/0058/2020","-","Single Sourced","","WENCHI WATER SUPPLY PROJECT","ETC/PPA","40 (1)b - Urgency","26th June, 2020","26th December, 2023","Euro","€30000000.00","ASPAC International (Sprl)","0","Middenhutlaan 1, B-1640 Sint-Genesius-Rode","0","-"
"Ghana National Petroleum Corporation","GNPC/PROC/SS/PPA/02/2019/01","-","Single Sourced","","Proprietary software contract being implemented in phases to allow for better and efficient workflow for staff, reducing the usage of paper.","ETC/PPA","40 (1)a - Proprietary","14th February, 2019","14th February, 2020","USA Dollar","$2850000.00","PERSOL SYSTEMS LIMITED","","","","-"
"Ghana National Petroleum Corporation","GNPC/PROC/SS/PPA/05/2019/07","-","Single Sourced","","Procurement of buses need to replace buses that broke down in the course of the year used for the transportation of staff.","ETC/PPA","40 (1)d - Standardization/Compatibility/Limited Size","29th August, 2019","29th October, 2019","Ghana Cedi","Gh¢979092.80","TOYOTA GHANA COMPANY LIMITED","","","","-"
"Ghana National Petroleum Corporation","GNPC/PROC/SS/PPA/09/2019/06","-","Single Sourced","","Software used to interpret data by technical staff.","ETC/PPA","40 (1)a - Proprietary","04th October, 2019","04th October, 2020","USA Dollar","$341212.55","HALLIBURTON GHANA LIMITED","","","","-"
"Ghana National Petroleum Corporation","GNPC/PROC/SS/PPA/10/2019/11","-","Single Sourced","","Software used to interpret data by technical staff.","ETC/PPA","40 (1)a - Proprietary","21st November, 2019","21st November, 2020","USA Dollar","$183176.63","INTERGRATED GEOSCIENCE LIMITED","","","","-"
"Ministry of Education","MOE/RT/VEH/001/2013","-","Single Sourced","1","","Entity Tender Committee","-","26th July, 2013","05th August, 2013","Ghana Cedi","Gh¢66990.00","Hyundai Motors & Investments (GH) Ltd","","P.O. Box KN 3449 Kaneshie -Accra","","-"
"Ghana National Petroleum Corporation","GNPC/PROC/SS/PPA/10/2019/12","-","Single Sourced","","Design, supervision and construction of operational head office in Takoradi.","ETC/PPA","72 (5) (c) - Consultant  / Follow-up Assignment ( 40) (1) (c)","22nd November, 2019","22nd November, 2021","USA Dollar","$25000000.00","CONPRO LIMITED","","","","-"
"Ghana National Petroleum Corporation","GNPC/PROC/SS/PPA/11/2019/17","-","Single Sourced","","Upgrade of NETAPP software used for security on internet connection and staff devices.","ETC/PPA","72 (5) (c) - Consultant  / Follow-up Assignment ( 40) (1) (c)","05th December, 2019","05th February, 2020","USA Dollar","$489439.77","CWG Ghana Limited","","","","-"
"Ghana National Petroleum Corporation","GNPC/PROC/SS/PPA/02/2020/02","-","Single Sourced","","Procurement of vehicles for Managers to replace old Honda vehicles.","ETC/PPA","40 (1)d - Standardization/Compatibility/Limited Size","28th February, 2020","28th April, 2020","Ghana Cedi","Gh¢1705060.00","THE HONDA PLACE (GHANA) LIMITED","","","","-"
"Ghana National Petroleum Corporation","GNPC/PROC/SS/PPA/03/2020/05","-","Single Sourced","","Provide Consultancy Services for the HR Department.","ETC/PPA","72 (5) (c) - Consultant  / Follow-up Assignment ( 40) (1) (c)","16th March, 2020","16th March, 2021","Ghana Cedi","Gh¢95000.00","SHAWBELLCONSULTING LIMITED","","","","-"
"Ghana National Petroleum Corporation","GNPC/PROC/SS/PPA/05/2020/10","-","Single Sourced","","Provide IT Services for the expansion and virtualization of IT System at GNPC.","ETC/PPA","40 (1)e - Research/Experiment/Development","15th May, 2020","15th May, 2021","Ghana Cedi","Gh¢16474620.55","I.T. MARKET LIMITED","","","","-"
"Ghana National Petroleum Corporation","GNPC/PROC/SS/PPA/06/2018","-","Single Sourced","","Engagement of Persol to ensure paperless and seamless workflow for GNPC staff.","ETC/PPA","40 (1)a - Proprietary","30th January, 2019","30th January, 2020","USA Dollar","$3000000.00","PERSOL SYSTEMS LIMITED","","","","-"
"Ministry of Education","MOE/RT/VEH/001/2013","-","Single Sourced","1","","ETC/PPA","-","-","-","Ghana Cedi","Gh¢0.00","Universal Motors Ltd","","","","-"
"Ghana Maritime Authority","GR/GMA/GD/20/007","-","Single Sourced","","Procurement of MERSEY CLASS VESSEL - BUILT TO SUIT","ETC/PPA","40 (1)d - Standardization/Compatibility/Limited Size","09th July, 2020","09th July, 2021","USA Dollar","$4800127.00","LEEMAR GROUP LTD","","","","-"
"Koforidua Technical University","ER/KTU/GD/0011/20","-","Single Sourced","","Printing and delivery of investiture and congregation brochures","ETC/PPA","40 (1)b - Urgency","10th September, 2020","14th September, 2020","Ghana Cedi","Gh¢42525.00","PAA WILLS PRINTING SHOP","","","","-"
"Ministry of Education","MOE/RT/VEH/001/2013","-","Single Sourced","1","","Ministerial Tender Review Committee","-","26th July, 2013","05th August, 2013","Ghana Cedi","Gh¢76414.00","Universal Motors Ltd","","","","-"
"Ghana Broadcasting Corporation","GR/GBC/GD/0015/2020","-","Single Sourced","","SUPPLY AND DELIVERY OF VW POLO HATCHBACK SE (CONFRONT LINE) 1.6 ENGINE CAPACITY","Entity Tender Committee","40 (1)b - Urgency","28th October, 2020","30th October, 2020","Ghana Cedi","Gh¢390600.00","UNIVERSAL MOTORS LIMITED","","","","-"
"Ghana College of Nurses and Midwives","GR/GCNM/GD/0015/2020","-","Single Sourced","1","SUPPLY OF OFFICIAL VEHICLES","ETC/PPA","40 (1)a - Proprietary","03rd November, 2020","16th November, 2020","Ghana Cedi","Gh¢686310.00","UNIVERSAL MOTORS LIMITED","","","","-"
"Koforidua Technical University","ER/KTU/TS/0012/18","-","Single Sourced","","Provision of dedicated Internet Services.","ETC/PPA","40 (1)d - Standardization/Compatibility/Limited Size","01st April, 2019","31st March, 2020","Ghana Cedi","Gh¢427072.56","Scancom PLC (MTN Ghana Limited)","0","0","0","-"
"Koforidua Technical University","ER/KTU/TS/0006/19","-","Single Sourced","","Provision of software to address plagiarism issues.","ETC/PPA","40 (1)a - Proprietary","04th December, 2019","10th February, 2020","Ghana Cedi","Gh¢35123.07","Eifel Corp Innovation","0","0","0","-"
"Ministry of Finance","GR/MOF/SS/002/2020","-","Single Sourced","1","Value for Money Services","ETC/PPA","40 (1)a - Proprietary","01st December, 2020","30th November, 2021","USA Dollar","$24000.00","PriceWaterHouse Coopers Limited","0","0","0","-"
