"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0047/2019","NCT","Open Tender","4","Procurement of Network Video Recorders for the University, KNUST.","Entity Tender Committee","01st April, 2019","15th October, 2019","Ghana Cedi","Gh¢300038.91","Red Mango Limited","0","0","0","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0047/2019","NCT","Open Tender","1","Procurement of Specialized Cameras and Accessories for the University, KNUST.","Entity Tender Committee","01st April, 2019","15th October, 2019","Ghana Cedi","Gh¢125404.61","Red Mango Limited","0","0","0","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0047/2019","NCT","Open Tender","2","Procurement of Basic CCTV   Cameras for the University, KNUST.","Entity Tender Committee","01st April, 2019","15th October, 2019","Ghana Cedi","Gh¢645489.32","Red Mango Limited","0","0","0","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0061/2019","NCT","Open Tender","","Procurement of 30,000 Pcs. Multipurpose ID Cards for the University, KNUST.","Entity Tender Committee","08th October, 2019","04th December, 2019","Ghana Cedi","Gh¢510000.00","Consolidated Bank of Ghana Limited","0","0","0","-"
"Audit Service","GR/AS/GD/LSDGP/0001/2020","NCT","Open Tender","","Supply and Fixing of office furniture to Regional Offices accross the country.","Entity Tender Committee","29th May, 2020","14th August, 2020","Ghana Cedi","Gh¢214525.00","BENJE STANDARD FURNITURE WORKS","","","","-"
"Ho Municipal Assembly","HMA/GSCSP/UDG/WKS/ NCT/01/2020","NCT","Open Tender","1","The Ministry of Local Government and Rural Development through the Government of the Republic of Ghana has received funds from the International Development Association (IDA) towards the cost of the Ghana Secondary Cities Support Program and intends to apply part of these funds to cover eligible payments for :  Construction of 2 Storey 58 Unit Shops, 24 Unit W/C and other Ancillary Facilities at Ho Central Market","Entity Tender Committee","30th June, 2020","30th April, 2021","Ghana Cedi","Gh¢3737782.53","OMEGA A COMPANY LTD","","","","-"
"Ho Municipal Assembly","HMA/GSCSP/UDG/WKS/ NCT/02/2020","NCT","Open Tender","2","The Ministry of Local Government and Rural Development through the Government of the Republic of Ghana has received funds from the International Development Association (IDA) towards the cost of the Ghana Secondary Cities Support Program and intends to apply part of these funds to cover eligible payments for :  Construction of 2 Storey 84 Unit Shops, 12 W/C and other Ancillary Facilities at Ho Central Market","Entity Tender Committee","30th June, 2020","30th April, 2021","Ghana Cedi","Gh¢5729401.37","Silver Cross  Estate Developers Company Limited","0","0","0","-"
"Koforidua Technical University","ER/KTU/GD/0008/20","NCT","Open Tender","1","Printing, supply and delivery of examination materials (answer booklets)","Entity Tender Committee","23rd July, 2020","14th August, 2020","Ghana Cedi","Gh¢101500.00","RADA-PRESTIGE COMPANY LIMITED","","","","-"
"Koforidua Technical University","ER/KTU/GD/0005/19","NCT","Open Tender","","Supply and delivery of Computers","Entity Tender Committee","28th January, 2020","14th February, 2020","Ghana Cedi","Gh¢263385.63","INTERCOM PROGRAMMING AND MANUFACTURING COMPANY LIMITED( IPMC)","","","","-"
"Koforidua Technical University","ER/KTU/GD/0105/19","NCT","Open Tender","","Supply and installation of Network Upgrade Equipment","Entity Tender Committee","28th January, 2020","11th May, 2020","Ghana Cedi","Gh¢288917.62","FAIRGREEN LIMITED","","","","-"
"Koforidua Technical University","ER/KTU/GD/0114/19","NCT","Open Tender","","Supply and delivery of Vehicles","Entity Tender Committee","24th January, 2020","10th February, 2020","Ghana Cedi","Gh¢327583.20","TOYOTA GHANA COMPANY LIMITED","","","","-"
"Ghana Broadcasting Corporation","GR/GBC/GD/0015/2020","NCT","Open Tender","1","PROCUREMENT FOR THE SUPPLY AND DELIVERY OF 4x4 VEHICLE","Entity Tender Committee","29th October, 2020","12th November, 2020","Ghana Cedi","Gh¢757732.00","TOYOTA GHANA COMPANY LIMITED","","","","-"
"Koforidua Technical University","ER/KTU/GD/0001/20","NCT","Open Tender","","Supply and delivery of stationery - Various","Entity Tender Committee","17th July, 2020","20th July, 2020","Ghana Cedi","Gh¢113574.20","Messiah R and Trading","0","0","0","-"
"Ministry of Gender, Children and Social protection","GR/MoGCSP/GD/002/2018","NCT","Open Tender","lot 1","The Government of the Republic of Ghana has received financing from the World Bank toward the cost of the Ghana Productive Safety Nets Project (GPSNP), and intends to apply part of the proceeds toward payments under the contract for Supply and Delivery of Office Equipment.   The Ministry of Gender, Children and Social Protection now invites sealed Bids from eligible Bidders for Supply and Delivery of Office Equipment as shown below:  Lot 1A : Desktop Computers with UPS - Qty 50 Lot 1 B : Laptops  - Qty 60 (Tender Security GH¢7,200.00)   Lot 2 : Photocopiers - Qty 6 (Tender Security GH¢1,800)  Lot 3 : Printers - Qty 64 (Tender Security - GH¢3,840)  Lot 4 : Tablets - Qty 600 (Tender Security GH¢2,520)","Central Tender Review Committee","25th March, 2020","25th May, 2020","Ghana Cedi","Gh¢1014000.00","CFAO Ghana Ltd","","P.O. Box GP 70, Airport Bypass Road Accra","","-"
"Social Security and National Insurance Trust (SSNIT)","GR/SSNIT/GD/0003/2012","NCT","Open Tender","1,2 & 5","Supply of Computer Hardware","Entity Tender Committee","14th August, 2012","13th November, 2012","Ghana Cedi","Gh¢855363.32","Fairgreen Ltd","","P. O. Box GP 579 Accra","","-"
"Ministry of Gender, Children and Social protection","GR/MoGCSP/GD/002/2018","NCT","Open Tender","lot 1","The Government of the Republic of Ghana has received financing from the World Bank toward the cost of the Ghana Productive Safety Nets Project (GPSNP), and intends to apply part of the proceeds toward payments under the contract for Supply and Delivery of Office Equipment.   The Ministry of Gender, Children and Social Protection now invites sealed Bids from eligible Bidders for Supply and Delivery of Office Equipment as shown below:  Lot 1A : Desktop Computers with UPS - Qty 50 Lot 1 B : Laptops  - Qty 60 (Tender Security GH¢7,200.00)   Lot 2 : Photocopiers - Qty 6 (Tender Security GH¢1,800)  Lot 3 : Printers - Qty 64 (Tender Security - GH¢3,840)  Lot 4 : Tablets - Qty 600 (Tender Security GH¢2,520)","Entity Tender Committee","19th March, 2020","14th May, 2020","Ghana Cedi","Gh¢689957.48","INTERCOM PROGRAMMING AND MANUFACTURING COMPANY LIMITED( IPMC)","","","","-"
"Ministry of Gender, Children and Social protection","GR/MoGCSP/GD/002/2018","NCT","Open Tender","lot 2","The Government of the Republic of Ghana has received financing from the World Bank toward the cost of the Ghana Productive Safety Nets Project (GPSNP), and intends to apply part of the proceeds toward payments under the contract for Supply and Delivery of Office Equipment.   The Ministry of Gender, Children and Social Protection now invites sealed Bids from eligible Bidders for Supply and Delivery of Office Equipment as shown below:  Lot 1A : Desktop Computers with UPS - Qty 50 Lot 1 B : Laptops  - Qty 60 (Tender Security GH¢7,200.00)   Lot 2 : Photocopiers - Qty 6 (Tender Security GH¢1,800)  Lot 3 : Printers - Qty 64 (Tender Security - GH¢3,840)  Lot 4 : Tablets - Qty 600 (Tender Security GH¢2,520)","Entity Tender Committee","19th March, 2020","26th May, 2020","Ghana Cedi","Gh¢65477.40","DOCUTECH LIMITED","","","","-"
"Ministry of Gender, Children and Social protection","GR/MoGCSP/GD/002/2018","NCT","Open Tender","lot 3","The Government of the Republic of Ghana has received financing from the World Bank toward the cost of the Ghana Productive Safety Nets Project (GPSNP), and intends to apply part of the proceeds toward payments under the contract for Supply and Delivery of Office Equipment.   The Ministry of Gender, Children and Social Protection now invites sealed Bids from eligible Bidders for Supply and Delivery of Office Equipment as shown below:  Lot 1A : Desktop Computers with UPS - Qty 50 Lot 1 B : Laptops  - Qty 60 (Tender Security GH¢7,200.00)   Lot 2 : Photocopiers - Qty 6 (Tender Security GH¢1,800)  Lot 3 : Printers - Qty 64 (Tender Security - GH¢3,840)  Lot 4 : Tablets - Qty 600 (Tender Security GH¢2,520)","Entity Tender Committee","19th March, 2020","05th May, 2020","Ghana Cedi","Gh¢154464.00","DOCUTECH LIMITED","","","","-"
"S.I.C. Life","GR/SIC/GD/0004/2013","NCT","Open Tender","","Quantity: Various  Tender Security of GHÂ¢200.00","Entity Tender Committee","20th August, 2013","09th December, 2013","Ghana Cedi","Gh¢46500.00","below the line Ghana Limited","","","","-"
"Suhum Municipal Assembly","ER/SUMA/WK/0012/2020","NCT","Open Tender","1","CONSTRUCTION OF 1NO. POLICE STATION AT AKORABO","Entity Tender Committee","06th November, 2020","06th May, 2021","Ghana Cedi","Gh¢371413.36","KAKEM CONSTRUCTION LIMITED","","","","-"
"S.I.C. Life","GR/SIC/GD/0004/2013","NCT","Open Tender","2","Quantity: Various  Tender Security of GHÂ¢200.00","Entity Tender Committee","20th August, 2013","25th November, 2013","Ghana Cedi","Gh¢24569.75","Type Company Limited","","P. O. Box KN854, Kaneshie","","-"
"S.I.C. Life","GR/SIC/GD/0005/2013","NCT","Open Tender","","Quantity: 2,000    Tender security of GHÂ¢200.00","Entity Tender Committee","20th August, 2013","25th November, 2013","Ghana Cedi","Gh¢2714.00","Type Company Limited","","P. O. Box KN854, Kaneshie","","-"
"Ministry of Roads and Highways","GH-MRH-83885-CW-RFB","ICT","Open Tender","3","The Government of the Republic of Ghana (GOG) has received a credit, , from the International Development Association (IDA) toward the cost of the Transport Sector Improvement Project (TSIP), and it intends to apply part of the proceeds of this credit to payments under the the Output and Performance Based Road Contract for the Selected Feeder Roads and Farm Tracks in the Atebubu District, Bono East Region (Formerly Brong-Ahafo Region) , including regravelling on Atebubu - Kumfia Trunk Road (R047-003) 28.5 km. The Ministry of Roads and Highways now invites sealed bids from eligible bidders for the Output and Performance Based Road Contract for the Selected Feeder Roads and Farm Tracks in the Atebubu District, (Bono East Region) (Formerly Brong-Ahafo Region) , including regravelling on Atebubu - Kumfia Trunk Road (R047-003) 28.5 km . The services to be provided by the Contracting Entity (CE) include all activities, physical or others, which the Contracting Entity needs to, carry out, in order to comply with the Service Levels and other output and performance criteria indicated under the contract, or with any other requirements of the contract. In particular, they include management tasks and physical works associated with the following road-related assets and items:  166 km of feeder roads and farm track/spurs in the Bono East Region (Formerly Brong Ahafo Region);  28.5 km of highway between Atebubu and Kumfia;  26 new major structures;  4 existing bridges; 4 existing major culverts  Complementery Interventions (Basic schools, Boreholes, Health Centre and market);  Signaling and road safety furniture;  Drainage structures;  Vegetation control;  Slopes (cuts and embankments);  Interlocking Paving blocks (Urban sections of roadlinks);  Traffic Management;  Data Collection;  Update Environmental and Social Impact Assessment (ESIA) and Resettlement Action Plan (RAP)","Central Tender Review Committee","06th May, 2020","30th June, 2025","Ghana Cedi","Gh¢103583700.00","Yangtse River International Engineering Company Limited","0","0","0","-"
"University For Development Studies","NR/UDS/GD/008/2013","NCT","Open Tender","1","","Ministerial Tender Review Committee","18th November, 2013","30th December, 2013","Ghana Cedi","Gh¢178000.00","JAPAN MOTORS TRADING CO. LTD","","P.O. BOX AN 5216 ACCRA -NORTH","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0100/2019","NCT","Open Tender","1","SUPPLY OF DESKTOP COMPUTERS AND UPS","Entity Tender Committee","28th August, 2019","30th September, 2019","Ghana Cedi","Gh¢125350.58","Red Mango Limited","0","0","0","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0097/2019","NCT","Open Tender","1","Supply of Eduroam Infrastructure for Dicts Data Center","Entity Tender Committee","02nd October, 2019","18th November, 2019","Ghana Cedi","Gh¢133550.67","Red Mango Limited","0","0","0","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0101/2019","NCT","Open Tender","1","Supply and installation of fire suppression for data centre","Entity Tender Committee","13th March, 2020","01st June, 2020","Ghana Cedi","Gh¢320721.88","JSE SECURITY SYSTEMS LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0028/2019","NCT","Open Tender","1","Supply of 30-seater bus with baggage carrier on top for SMS","Entity Tender Committee","05th March, 2020","06th April, 2020","Ghana Cedi","Gh¢500036.68","TOYOTA GHANA COMPANY LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0002/2019","NCT","Open Tender","","SUPPLY OF UCC CUSTOMIZED CLOTH","Central Tender Review Committee","14th August, 2019","11th November, 2019","Ghana Cedi","Gh¢1008000.00","Mr. Quophi Fashions","0","0","0","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0025/2018","NCT","Open Tender","1","SUPPLY OF STATION WAGON 2019 MODEL","Entity Tender Committee","10th April, 2019","08th July, 2019","Ghana Cedi","Gh¢370950.00","TOYOTA GHANA COMPANY LIMITED","","","","-"
"University For Development Studies","GR/ECGH/GG/0013/2012","NCT","Open Tender","1","MUST SUBMIT 2% TENDER SECURITY, VAT CERT ETC","Ministerial Tender Review Committee","18th November, 2013","30th December, 2013","Ghana Cedi","Gh¢181194.00","JAPAN MOTORS TRADING CO. LTD","","P.O. BOX AN 5216 ACCRA -NORTH","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0043/2019","NCT","Open Tender","1","Supply and Installation of Field and Laboratory Equipment for USAID Fisheries","Entity Tender Committee","20th December, 2019","03rd March, 2020","Ghana Cedi","Gh¢462134.16","WAGTECH GHANA LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0087/2019","NCT","Open Tender","1","SUPPLY OF LABORATORY EQUIPMENT FOR CHEMISTRY DEPARTMENT - NUFFIC NICHE PROJECT","Entity Tender Committee","09th July, 2019","08th August, 2019","Ghana Cedi","Gh¢193633.89","RESOLVE SYSTEM LIMITED","0","0","0","-"
"University Of Ghana (UG)","UG/GD/LC/NCT/003/2020","NCT","Open Tender","Lot 1","Supply of Saloon Car - Qty -1 unit.","Entity Tender Committee","19th August, 2020","22nd September, 2020","Ghana Cedi","Gh¢135700.00","THE HONDA PLACE (GHANA) LIMITED","","","","-"
"University For Development Studies","","-","Open Tender","1","","Ministerial Tender Review Committee","18th November, 2013","30th December, 2013","Ghana Cedi","Gh¢276746.40","JAPAN MOTORS TRADING CO. LTD","","P.O. BOX AN 5216 ACCRA -NORTH","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/003/20","NCT","Open Tender","3,4,5,6,8,9,10,11,12,16,17,18,19,20,25,26,35","PROCUREMENT OF NON-MEDICINE CONSUMABLES - VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢7867000.00","INVESTRADE INTERNATIONAL COMPANY LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/003/20","NCT","Open Tender","3,13","PROCUREMENT OF NON-MEDICINE CONSUMABLES - VARIOUS","Central Tender Review Committee","28th September, 2020","30th September, 2020","Ghana Cedi","Gh¢1307950.00","LIFESCIENCE PHARMA LTD","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/003/20","NCT","Open Tender","15","PROCUREMENT OF NON-MEDICINE CONSUMABLES - VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢1040000.00","LINCMOND GLOBAL LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/003/20","NCT","Open Tender","15","PROCUREMENT OF NON-MEDICINE CONSUMABLES - VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢1040000.00","LINCMOND GLOBAL LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/003/20","NCT","Open Tender","21,22,23,24,31,32,33","PROCUREMENT OF NON-MEDICINE CONSUMABLES - VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢1866000.00","SANBAO (GHANA) PHARMACEUTICAL LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/003/20","NCT","Open Tender","36","PROCUREMENT OF NON-MEDICINE CONSUMABLES - VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢350000.00","TRANS-SAS TRADING & MANUFACTURING COMPANY LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/003/20","NCT","Open Tender","44","PROCUREMENT OF NON-MEDICINE CONSUMABLES - VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢440000.00","ROWENA HEALTHCARE LTD","","","","-"
"University For Development Studies","NR/UDS/GD/009/2013","NCT","Open Tender","1","","Ministerial Tender Review Committee","18th November, 2013","30th December, 2013","Ghana Cedi","Gh¢135407.70","TOYOTA GHANA COMPANY LTD","","TOYOTA GHANA COMPANY LIMITED P.O.BOX 1644 ACCRA","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/003/20","NCT","Open Tender","37","PROCUREMENT OF NON-MEDICINE CONSUMABLES - VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢3600000.00","LOGIC HEALTHCARE AFRICA LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","1,8,9,10,19,20,37,41,42,43,44,47,59,61,62,67,76,83,84,87,105,109,111,112,113,114,119,133,134,135,136,157,158,159","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢5812060.00","PHARMANOVA LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","11","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢570000.00","ATLAS PHARMACY LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","12,21,48,54,57,77,91,102,103,122,131,145,147,152,153,170","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢1722070.00","ERNEST CHEMISTS LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","14,115,175","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢1163550.00","INTRAVENOUS INFUSIONS PLC","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","35,56,60","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢181200.00","GR INDUSTRIES LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","22,121","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢242240.00","PROPHARM CHEMISTS LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","23","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢54400.00","DANNEX LTD.","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","2,3,50,78,88,98,129,154,156","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢549600.00","TOBINCO PHARMACEUTICALS LIMITED","","","","-"
"Office of the Regional Health Directorate - Greater Accra Region","GHS/RHD/GAR/NCT/GD/002/20","NCT","Open Tender","5,18,34,52,55,77,82,118","PROCUREMENT OF ESSENTIAL MEDICINES-VARIOUS","Central Tender Review Committee","28th September, 2020","30th October, 2020","Ghana Cedi","Gh¢262090.00","ESKAY THERAPEUTICS LTD","","","","-"
"University For Development Studies","NR/UDS/GD/0011/2013","NCT","Open Tender","1","","Entity Tender Committee","09th October, 2013","30th December, 2013","Ghana Cedi","Gh¢23885.00","GIFFRED VENTURES","","P. O. BOX MB 516, ACCRA","","-"
